id;voucher_id;mission_id
291;B 10 1183174;6
292;B 10 1179518;3
293;B 10 1181977;6
294;B 10 1183898;6
295;B 10 0643688;4
296;B 10 1178616;3
297;B 30 0313732;1
298;B 30 0312640;1
299;B101199421;11
300;B100013065;10
301;B 10 1026558;5
302;B 10 1006681;3
303;B101196831;12
304;B 10 1027802;5
305;B 10 0310390;5
306;B101212483;12
307;B 10 1027258;5
308;B 10 1064635;5
309;B 10 0424356;6
310;B101066379;8
311;B100548135;12
312;B 10 0194332;3
313;B101027987;8
314;B101096531;10
315;B 10 0029202;4
316;B 10 1175480;7
317;B 10 0013441;6
318;B 10 0557789;3
319;B100010898;10
320;B101200021;12
321;B101122318;10
322;B 30 0310369;1
323;B100161687;12
324;B 10 1062775;5
325;B 10 1161242;7
326;B101072246;9
327;B101200032;12
328;B 30 0317344;1
329;B101213570;12
330;B101126737;10
331;B 10 1068686;6
332;B109008957;12
333;B 10 1064003;5
334;B101200518;12
335;B 30 0313213;1
336;B101199731;11
337;B101213057;12
338;B 30 0319487;1
339;B101196766;12
340;B 10 1183205;6
341;B101072100;9
342;B101200456;12
343;B 30 0314634;1
344;B 10 0752915;7
345;B 10 1067494;6
346;B101097011;10
347;B 10 0432416;2
348;B 30 0310100;1
349;B100013080;10
350;B 30 0318641;1
351;B 10 1178133;3
352;B 30 0317246;1
353;B 10 1021802;4
354;B 10 1176418;7
355;B 10 1022984;4
356;B 10 1039155;2
357;B 10 1025745;5
358;B 10 0121067;6
359;B 10 1183569;6
360;B 30 0313217;1
361;B 10 1062819;5
362;B100778425;11
363;B 10 1064369;5
364;B 10 1026297;5
365;B 30 0311949;1
366;B 10 1064914;5
367;B 30 0313623;1
368;B 30 0319572;1
369;B 10 0095452;6
370;B 10 1066888;6
371;B 30 0311638;1
372;B 30 0310440;1
373;B 10 1023151;4
374;B 10 0293072;6
375;B 10 0482797;5
376;B 10 1005369;3
377;B 10 1040269;3
378;B 30 0314591;1
379;B 10 1179476;3
380;B101199690;11
381;B101042132;8
382;B101199087;11
383;B101122477;10
384;B 10 1178346;3
385;B 10 1181531;6
386;B100680518;11
387;B 10 1023081;4
388;B 10 0213434;6
389;B 10 0048863;5
390;B 10 1062705;5
391;B101123019;10
392;B101213052;12
393;B101212118;12
394;B 10 1183555;6
395;B 10 1064889;5
396;B 10 1178919;3
397;B 30 0318350;1
398;B101040297;8
399;B 10 1027537;5
400;B101125427;10
401;B101212670;12
402;B 10 1027233;5
403;B 10 1183919;6
404;B 10 0413572;2
405;B 10 1179644;3
406;B 30 0313901;1
407;B 10 1065391;5
408;B 10 1023237;4
409;B101213074;12
410;B101196840;12
411;B101073031;9
412;B 10 0021968;3
413;B101200075;11
414;B101091218;10
415;B 30 0316487;1
416;B 10 1176589;7
417;B 10 1025562;5
418;B 10 0611296;3
419;B 30 0316463;1
420;B 10 1039252;5
421;B 10 1021286;4
422;B 10 0603464;4
423;B 10 1186708;6
424;B101071247;9
425;B101125006;10
426;B101071534;9
427;B 10 1028660;2
428;B 10 0675088;6
429;B 10 1062962;5
430;B 10 1180320;3
431;B 30 0314496;1
432;B 10 1176137;7
433;B101072602;9
434;B 30 0317523;1
435;B 10 1066539;5
436;B101128012;10
437;B100663575;12
438;B 10 1177866;3
439;B 10 1064291;5
440;B 10 1180732;3
441;B101091250;10
442;B 10 1183720;6
443;B 30 0318473;1
444;B101096907;10
445;B101223435;12
446;B 30 0311375;1
447;B100704492;12
448;B 30 0318894;1
449;B 30 0316151;1
450;B 10 0046511;6
451;B 10 1177268;7
452;B 10 0519652;3
453;B101144220;12
454;B 10 0018401;2
455;B100421345;12
456;B101124410;10
457;B 10 0001502;2
458;B101127418;10
459;B101127038;10
460;B 30 0313786;1
461;B 10 1175061;7
462;B 30 0310386;1
463;B 10 0512783;6
464;B 10 0588466;3
465;B101213312;12
466;B 10 1040020;3
467;B 30 0318980;1
468;B100128550;8
469;B101127352;10
470;B100472033;10
471;B101196845;12
472;B 10 1040398;3
473;B 30 0313893;1
474;B 10 0588406;3
475;B 10 1025586;5
476;B 10 1179983;3
477;B 30 0314252;1
478;B 30 0313240;1
479;B 10 1181341;3
480;B 10 0677380;6
481;B 30 0314882;1
482;B 30 0319243;1
483;B101071850;9
484;B 10 0514107;6
485;B101126037;10
486;B 10 0300405;3
487;B100720688;10
488;B 10 1180575;3
489;B 10 1179736;3
490;B101212672;12
491;B101213565;12
492;B100603210;10
493;B101073111;9
494;B 30 0313864;1
495;B 30 0312719;1
496;B 10 1025607;5
497;B101126786;10
498;B 10 0485346;7
499;B 30 0316226;1
500;B101124488;10
