specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;betulaceae_scientific_name - scientific_name;betulaceae_scientific_name - species_name_not_in_list;betulaceae_scientific_name - genus_name_not_in_list;betulaceae_scientific_name - not_sure;betulaceae_scientific_name - no_info
B;Herbarium Berolinense;B101213132;12;9145619;BETULACEAE;indet.;sp.;;Frankreich;;;;False;Auvergne-Rhône-Alpes;;;False;07/08/1996 - 07/08/1996;False;False;J. Štěpánek, J. Štěpánková cum liberis;;False;;True;;;True;Gallia centralis, département Puy-de-Dôme, montes Massif Central, urbs Clermont-Ferrand, mt. Monts Dore, opp. le Mont-Dore, pagus Besse-en-Chandesse, centrum turisticum Super-Besse (1350 m): locis graminosis (hieme curriculum nivale) in declivitatae +/- meridoniali supra centrum Super-Besse. Alt. ca 1450-1600 m s. m.;;False;;True;45.5049566196797 , 2.8448581695556645;;;;;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213133;12;9145619;BETULACEAE;indet.;sp.;;Schweiz;False;;;;Genf(Genève);;;;21/04/1852 - 21/04/1852;False;False;;;True;;True;;;True;Les bois, etc. Sierne (Gen.);False;;;True;46.1769965 , 6.1817931;;;;False;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213134;12;9145619;BETULACEAE;indet.;sp.;;Frankreich;False;;;;Okzitanien;;;;28/05/1990 - 28/05/1990;False;False;A. Polatschek;;False;;True;G. Natho;;;Hautes-Pyrénées: S Lourdes: Gavarnie: Aufstieg ins Vallée d'Ossoue, ca. 1380-1500 m, Kalkfels und - Schutthänge, Wiesen, Buschwald;;False;;True;42.759766 , 0.006723;;;;;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213135;12;9145619;BETULACEAE;indet.;sp.;;Frankreich;False;;;;Okzitanien;;;;01/06/1984 - 01/06/1984;False;False;A. Polatschek;;False;;True;G. Natho;;False;Hautes Pyrénées: Pic du Jer nahe E Lourdes, Kalk, ca. 700m, Mischwaldrand;False;;;True;43.08653525908458 , -0.03295898437500001;;;;False;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213136;12;9145619;BETULACEAE;indet.;sp.;;Frankreich;;;;False;Bourgogne-Franche-Comté;;;False;19/07/1933 - 19/07/1933;;;G. Desplantes;;;;True;;;True;Flavigny (Côte-d'Or), broussailles;;False;Georges Desplantes;;47.5115497 , 4.5305141;;;;;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213137;12;9145619;BETULACEAE;indet.;sp.;;Frankreich;;;;False;Grand Est;;;False;20/04/1910 - 20/04/1910;;;Ernst H. L. Krause;;;30113;;;;True;Straßburg, Wacken;;False;;True;48.5987622 , 7.7607428;;;;;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213138;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Thüringen;;;;01/06/1904 - 30/06/1904;False;False;J. Bornmüller;;False;;True;;;True;Weimar, Friedhof;False;;J. Bornmüller;False;50.9740343 , 11.3214948;;;;False;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213139;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Thüringen;;;;14/06/1909 - 14/06/1909;False;False;J. Bornmüller;;False;;True;Mang;;False;Am Bahnhof von Ober-Grunstedt;False;;J. Bornmüller;False;50.955457051885546 , 11.27124309539795;;;;False;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213140;12;9145619;BETULACEAE;indet.;sp.;;Österreich;;;;False;Wien;;;False;21/09/1887 - 21/09/1887;;;Ostermeyer;;;;True;;;True;Prater bei dem Kunstpavillion;;False;;True;48.197347976697934 , 16.426963806152347;;;;;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213141;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;;Hessen;;;;14/05/1848 - 29/08/1848;False;False;Hentze;;False;;True;;;True;Kassel: Wilhelmshöher Baumschulen, aus Saamen aus dem Auepark gesät. (über den Baumschulen);False;;Karl Koch;False;51.29562087333528 , 9.490127563476564;;;;False;Betula alba L.;;;;
B;Herbarium Berolinense;B101213142;12;9145619;BETULACEAE;indet.;sp.;;Polen;False;;;;Dolnośląskie;;;;07/07/1902 - 10/08/1902;False;False;C. Baenitz;;False;;True;Mang;;False;"Silesia: Breslau [Wrocław]; Wiesners Park in Carlowitz [Karłowice]. 120 m.";False;;C. Baenitz,Bothe;False;51.13812288712561 , 17.063548564910892;;;;False;Betula pendula Roth;;;;
B;Herbarium Berolinense;B101213143;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;;;;False;Thüringen;;;False;30/05/1945 - 30/05/1945;;;J. B[ornmüller];;;;True;;;True;W[eimar];;False;Joseph Bornmüller;;50.98049 , 11.327569;;;;;;;;;
B;Herbarium Berolinense;B101213144;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;;Hessen;;;;05/04/1848 - 05/04/1848;False;False;Hentze;;False;;True;;;True;"Von jungen Bäumen in der Baumschule des Aueparks; Kassel: Wilhelmshöher Baumschulen";False;;Karl Koch;False;51.3028482 , 9.492566008944953;;;;;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213145;12;9145619;BETULACEAE;indet.;sp.;;Österreich;False;;;False;Salzburg;;;;17/07/1907 - 17/07/1907;False;False;;;True;202;False;;;True;Radstadt Garten;False;;;True;47.384636125256364 , 13.467135429382326;;;;False;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213146;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;;Hessen;;;;11/09/1860 - 11/09/1860;False;False;Hentze;;False;;True;;;True;Kassel: Wilhelmshöher Baumschulen. Aus Saamen eines mit 111 bezeichneten Baumes neben der Baumschule erzogen, jetzt bei dem Chinesen Nr. 16.;;False;Karl Koch;False;51.302714 , 9.495088;;;;;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213147;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;;;;False;Hessen;;;False;03/08/1853 - 03/08/1853;;;Hentze;;;;True;;;True;Umgebung von Kassel. Aus Saamen von einem mit 111 bez. Baume im Auepark, jetzt unter Nr. 16 in der Baumschule;True;False;Karl Koch;False;51.302722 , 9.495829;;;;;Betula L.;;;;
B;Herbarium Berolinense;B101213148;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;False;Hessen;;;False;23/05/1848 - 29/08/1848;False;False;Hentze;;;;True;;;True;Kassel: Wilhelmshöher Baumschulen, aus Samen von einem Baume im Auepark im III bez. am 28/2 48 gesäet, am 23/5, 14/6, 14/ 7 und 29/8 ausgezogen;;False;Karl Koch;False;51.31242751826835 , 9.430389404296877;;;;False;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213149;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Hessen;;;;28/02/1848 - 23/09/1850;False;;Hentze;;;;True;;;True;Umgebung von Kassel;False;;Karl Koch;;51.301583 , 9.493675;;;;;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213150;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;False;Hessen;;;;12/10/1860 - 12/10/1860;;;Hentze;;False;;True;;;True;Umgebung von Kassel, im Auepark mit III bez.;;False;Karl Koch;;51.3028482 , 9.492566008944953;;;;;Betula L.;;;;
B;Herbarium Berolinense;B101213151;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Hessen;;;False;28/09/1860 - 28/09/1860;False;False;Hentze;;False;;True;;;True;Im Beinhauerschen Garten;True;;Karl Koch;False;51.2602719 , 9.5641547;;;;;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213152;12;9145619;BETULACEAE;indet.;sp.;"""mehrere Belege mit widersprüchlichen Angaben""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101213153;12;9145619;BETULACEAE;indet.;sp.;;;False;;;True;;;;True;;;True;;;True;;True;;;True;Tatra;True;;Karl Koch;False;;;;;True;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213154;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Bremen;;;;01/01/1811 - 31/12/1811;False;False;G. R. Treviranus;;False;;True;;;True;Ex horto meo, Bremen;False;;[L. C. Treviranus];False;53.14301262393201 , 8.68748188018799;;;;False;Betula pendula Roth;;;;
